		Unique Networks

input : resources/data/GBApPD_vs_GBApUnaffected_Expression.txt
class : resources/data/GBApPD_vs_GBApUnaffected_ClassFile.txt
geneset : REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION


network 1 (0)	 number of edges : 59
------------------------------

PPP2CA - POLA2
PPP2CA - ORC1
PPP2CA - E2F1
TFDP2 - POLA2
TFDP2 - ORC1
TFDP2 - ORC6
ORC2 - POLA2
ORC2 - ORC1
ORC2 - ORC6
ORC4 - POLA2
ORC4 - ORC6
ORC4 - E2F1
MCM8 - POLA2
MCM8 - ORC6
MCM8 - E2F1
CCNB1 - ORC1
CCNB1 - ORC6
CCNB1 - E2F1
ORC3 - POLA2
ORC3 - ORC6
ORC3 - E2F1
PPP2R1B - POLA2
PPP2R1B - ORC1
PPP2R1B - ORC6
RB1 - ORC1
RB1 - ORC6
RB1 - PPP2CB
PRIM2 - ORC1
PRIM2 - E2F1
PRIM2 - PPP2R1A
ORC5 - ORC6
ORC5 - POLA1
ORC5 - PPP2CB
PPP2R3B - POLA2
PPP2R3B - ORC1
PPP2R3B - E2F1
CDK1 - E2F1
CDK1 - PPP2R1A
CDK1 - TFDP2
PRIM1 - POLA2
PRIM1 - ORC1
PRIM1 - ORC6
TFDP1 - ORC1
TFDP1 - ORC6
TFDP1 - POLA1


network 6 (36)	 number of edges : 59
------------------------------

ORC1 - POLA2
ORC6 - POLA2
ORC6 - ORC1
E2F1 - POLA2
E2F1 - ORC1
E2F1 - ORC6
POLA1 - POLA2
POLA1 - ORC1
PPP2CB - POLA2
PPP2CB - ORC1
PPP2CB - ORC6
PPP2R1A - POLA2
PPP2R1A - ORC6
PPP2R1A - E2F1
PPP2CA - POLA2
PPP2CA - ORC1
PPP2CA - E2F1
TFDP2 - POLA2
TFDP2 - ORC1
TFDP2 - ORC6
ORC2 - POLA2
ORC2 - ORC1
ORC2 - ORC6
ORC4 - POLA2
ORC4 - ORC6
ORC4 - E2F1
MCM8 - POLA2
MCM8 - ORC6
MCM8 - E2F1
CCNB1 - ORC1
CCNB1 - E2F1
CCNB1 - TFDP2
ORC3 - POLA2
ORC3 - ORC6
ORC3 - E2F1
PPP2R1B - POLA2
PPP2R1B - ORC1
PPP2R1B - ORC6
RB1 - ORC1
RB1 - ORC6
RB1 - PPP2CB
PRIM2 - ORC1
PRIM2 - E2F1
PRIM2 - PPP2R1A
ORC5 - ORC6
ORC5 - POLA1
ORC5 - PPP2CB
PPP2R3B - POLA2
PPP2R3B - ORC1
PPP2R3B - E2F1
CDK1 - ORC1
CDK1 - E2F1
CDK1 - PPP2R1A
PRIM1 - POLA2
PRIM1 - ORC1
PRIM1 - ORC6
TFDP1 - ORC1
TFDP1 - ORC6
TFDP1 - POLA1


network 7 (38)	 number of edges : 59
------------------------------

ORC1 - POLA2
ORC6 - POLA2
ORC6 - ORC1
E2F1 - POLA2
E2F1 - ORC1
E2F1 - ORC6
POLA1 - POLA2
POLA1 - ORC1
PPP2CB - POLA2
PPP2CB - ORC1
PPP2CB - ORC6
PPP2R1A - POLA2
PPP2R1A - ORC6
PPP2R1A - E2F1
PPP2CA - POLA2
PPP2CA - ORC1
PPP2CA - E2F1
TFDP2 - POLA2
TFDP2 - ORC1
TFDP2 - ORC6
ORC2 - POLA2
ORC2 - ORC1
ORC2 - ORC6
ORC4 - POLA2
ORC4 - ORC6
ORC4 - E2F1
MCM8 - POLA2
MCM8 - ORC6
MCM8 - E2F1
CCNB1 - ORC1
CCNB1 - E2F1
CCNB1 - PPP2CA
ORC3 - POLA2
ORC3 - ORC6
ORC3 - E2F1
PPP2R1B - POLA2
PPP2R1B - ORC1
PPP2R1B - ORC6
RB1 - ORC1
RB1 - ORC6
RB1 - PPP2CB
PRIM2 - ORC1
PRIM2 - E2F1
PRIM2 - PPP2R1A
ORC5 - ORC6
ORC5 - POLA1
ORC5 - PPP2CB
PPP2R3B - POLA2
PPP2R3B - ORC1
PPP2R3B - E2F1
CDK1 - ORC1
CDK1 - E2F1
CDK1 - PPP2R1A
PRIM1 - POLA2
PRIM1 - ORC1
PRIM1 - ORC6
TFDP1 - ORC1
TFDP1 - ORC6
TFDP1 - POLA1


network 8 (77)	 number of edges : 59
------------------------------

ORC1 - POLA2
ORC6 - POLA2
ORC6 - ORC1
E2F1 - POLA2
E2F1 - ORC1
E2F1 - ORC6
POLA1 - POLA2
POLA1 - ORC1
PPP2CB - POLA2
PPP2CB - ORC1
PPP2CB - ORC6
PPP2R1A - POLA2
PPP2R1A - ORC6
PPP2R1A - E2F1
PPP2CA - POLA2
PPP2CA - ORC1
PPP2CA - E2F1
TFDP2 - POLA2
TFDP2 - ORC1
TFDP2 - ORC6
ORC2 - POLA2
ORC2 - ORC1
ORC2 - ORC6
ORC4 - POLA2
ORC4 - ORC6
ORC4 - E2F1
MCM8 - POLA2
MCM8 - ORC6
MCM8 - E2F1
CCNB1 - ORC1
CCNB1 - ORC6
CCNB1 - E2F1
ORC3 - POLA2
ORC3 - ORC6
ORC3 - E2F1
PPP2R1B - POLA2
PPP2R1B - ORC1
PPP2R1B - ORC6
RB1 - ORC1
RB1 - ORC6
RB1 - PPP2CB
PRIM2 - ORC1
PRIM2 - E2F1
PRIM2 - PPP2R1A
ORC5 - ORC6
ORC5 - POLA1
ORC5 - PPP2CB
PPP2R3B - POLA2
PPP2R3B - ORC1
PPP2R3B - E2F1
CDK1 - E2F1
CDK1 - TFDP2
CDK1 - ORC4
PRIM1 - POLA2
PRIM1 - ORC1
PRIM1 - ORC6
TFDP1 - ORC1
TFDP1 - ORC6
TFDP1 - POLA1


network 9 (79)	 number of edges : 59
------------------------------

ORC1 - POLA2
ORC6 - POLA2
ORC6 - ORC1
E2F1 - POLA2
E2F1 - ORC1
E2F1 - ORC6
POLA1 - POLA2
POLA1 - ORC1
PPP2CB - POLA2
PPP2CB - ORC1
PPP2CB - ORC6
PPP2R1A - POLA2
PPP2R1A - ORC6
PPP2R1A - E2F1
PPP2CA - POLA2
PPP2CA - ORC1
PPP2CA - E2F1
TFDP2 - POLA2
TFDP2 - ORC1
TFDP2 - ORC6
ORC2 - POLA2
ORC2 - ORC1
ORC2 - ORC6
ORC4 - POLA2
ORC4 - ORC6
ORC4 - E2F1
MCM8 - POLA2
MCM8 - ORC6
MCM8 - E2F1
CCNB1 - ORC1
CCNB1 - ORC6
CCNB1 - E2F1
ORC3 - POLA2
ORC3 - ORC6
ORC3 - E2F1
PPP2R1B - POLA2
PPP2R1B - ORC1
PPP2R1B - ORC6
RB1 - ORC1
RB1 - ORC6
RB1 - PPP2CB
PRIM2 - ORC1
PRIM2 - E2F1
PRIM2 - PPP2R1A
ORC5 - ORC6
ORC5 - POLA1
ORC5 - PPP2CB
PPP2R3B - POLA2
PPP2R3B - ORC1
PPP2R3B - E2F1
CDK1 - E2F1
CDK1 - TFDP2
CDK1 - MCM8
PRIM1 - POLA2
PRIM1 - ORC1
PRIM1 - ORC6
TFDP1 - ORC1
TFDP1 - ORC6
TFDP1 - POLA1


network 10 (178)	 number of edges : 59
------------------------------

ORC1 - POLA2
ORC6 - POLA2
ORC6 - ORC1
E2F1 - POLA2
E2F1 - ORC1
E2F1 - ORC6
POLA1 - POLA2
POLA1 - ORC1
PPP2CB - POLA2
PPP2CB - ORC1
PPP2CB - ORC6
PPP2R1A - POLA2
PPP2R1A - ORC6
PPP2R1A - E2F1
PPP2CA - POLA2
PPP2CA - ORC1
PPP2CA - E2F1
TFDP2 - POLA2
TFDP2 - ORC1
TFDP2 - ORC6
ORC2 - POLA2
ORC2 - ORC1
ORC2 - ORC6
ORC4 - POLA2
ORC4 - ORC6
ORC4 - E2F1
MCM8 - POLA2
MCM8 - ORC6
MCM8 - E2F1
CCNB1 - ORC1
CCNB1 - ORC6
CCNB1 - E2F1
ORC3 - POLA2
ORC3 - ORC6
ORC3 - E2F1
PPP2R1B - POLA2
PPP2R1B - ORC1
PPP2R1B - ORC6
RB1 - ORC1
RB1 - ORC6
RB1 - PPP2CB
PRIM2 - ORC1
PRIM2 - E2F1
PRIM2 - PPP2R1A
ORC5 - ORC6
ORC5 - POLA1
ORC5 - PPP2CB
PPP2R3B - POLA2
PPP2R3B - ORC1
PPP2R3B - E2F1
CDK1 - TFDP2
CDK1 - ORC4
CDK1 - MCM8
PRIM1 - POLA2
PRIM1 - ORC1
PRIM1 - ORC6
TFDP1 - ORC1
TFDP1 - ORC6
TFDP1 - POLA1


network 11 (188)	 number of edges : 59
------------------------------

ORC1 - POLA2
ORC6 - POLA2
ORC6 - ORC1
E2F1 - POLA2
E2F1 - ORC1
E2F1 - ORC6
POLA1 - POLA2
POLA1 - ORC1
PPP2CB - POLA2
PPP2CB - ORC1
PPP2CB - ORC6
PPP2R1A - POLA2
PPP2R1A - ORC6
PPP2R1A - E2F1
PPP2CA - POLA2
PPP2CA - ORC1
PPP2CA - E2F1
TFDP2 - POLA2
TFDP2 - ORC1
TFDP2 - ORC6
ORC2 - POLA2
ORC2 - ORC1
ORC2 - ORC6
ORC4 - POLA2
ORC4 - ORC6
ORC4 - E2F1
MCM8 - POLA2
MCM8 - ORC6
MCM8 - E2F1
CCNB1 - ORC1
CCNB1 - ORC6
CCNB1 - E2F1
ORC3 - POLA2
ORC3 - ORC6
ORC3 - E2F1
PPP2R1B - POLA2
PPP2R1B - ORC1
PPP2R1B - ORC6
RB1 - ORC1
RB1 - ORC6
RB1 - PPP2CB
PRIM2 - ORC1
PRIM2 - E2F1
PRIM2 - PPP2R1A
ORC5 - ORC6
ORC5 - POLA1
ORC5 - PPP2CB
PPP2R3B - POLA2
PPP2R3B - ORC1
PPP2R3B - E2F1
CDK1 - ORC1
CDK1 - TFDP2
CDK1 - ORC4
PRIM1 - POLA2
PRIM1 - ORC1
PRIM1 - ORC6
TFDP1 - ORC1
TFDP1 - ORC6
TFDP1 - POLA1


network 12 (193)	 number of edges : 59
------------------------------

ORC1 - POLA2
ORC6 - POLA2
ORC6 - ORC1
E2F1 - POLA2
E2F1 - ORC1
E2F1 - ORC6
POLA1 - POLA2
POLA1 - ORC1
PPP2CB - POLA2
PPP2CB - ORC1
PPP2CB - ORC6
PPP2R1A - POLA2
PPP2R1A - ORC6
PPP2R1A - E2F1
PPP2CA - POLA2
PPP2CA - ORC1
PPP2CA - E2F1
TFDP2 - POLA2
TFDP2 - ORC1
TFDP2 - ORC6
ORC2 - POLA2
ORC2 - ORC1
ORC2 - ORC6
ORC4 - POLA2
ORC4 - ORC6
ORC4 - E2F1
MCM8 - POLA2
MCM8 - ORC6
MCM8 - E2F1
CCNB1 - ORC1
CCNB1 - ORC6
CCNB1 - E2F1
ORC3 - POLA2
ORC3 - ORC6
ORC3 - E2F1
PPP2R1B - POLA2
PPP2R1B - ORC1
PPP2R1B - ORC6
RB1 - ORC1
RB1 - ORC6
RB1 - PPP2CB
PRIM2 - ORC1
PRIM2 - PPP2R1A
PRIM2 - TFDP2
ORC5 - ORC6
ORC5 - POLA1
ORC5 - PPP2CB
PPP2R3B - POLA2
PPP2R3B - ORC1
PPP2R3B - E2F1
CDK1 - TFDP2
CDK1 - MCM8
CDK1 - PPP2R1B
PRIM1 - POLA2
PRIM1 - ORC1
PRIM1 - ORC6
TFDP1 - ORC1
TFDP1 - ORC6
TFDP1 - POLA1


network 13 (304)	 number of edges : 58
------------------------------

ORC1 - POLA2
ORC6 - POLA2
ORC6 - ORC1
E2F1 - ORC1
E2F1 - ORC6
POLA1 - ORC1
POLA1 - E2F1
PPP2CB - POLA2
PPP2CB - ORC1
PPP2CB - E2F1
PPP2R1A - POLA2
PPP2R1A - ORC6
PPP2R1A - E2F1
PPP2CA - POLA2
PPP2CA - ORC1
PPP2CA - E2F1
TFDP2 - POLA2
TFDP2 - ORC1
TFDP2 - ORC6
ORC2 - POLA2
ORC2 - ORC1
ORC2 - ORC6
ORC4 - POLA2
ORC4 - ORC6
ORC4 - E2F1
MCM8 - POLA2
MCM8 - ORC6
MCM8 - E2F1
CCNB1 - ORC1
CCNB1 - ORC6
CCNB1 - E2F1
ORC3 - POLA2
ORC3 - ORC1
ORC3 - ORC6
PPP2R1B - ORC1
PPP2R1B - ORC6
PPP2R1B - POLA1
RB1 - ORC1
RB1 - PPP2R1A
RB1 - TFDP2
PRIM2 - ORC1
PRIM2 - E2F1
PRIM2 - PPP2R1A
ORC5 - ORC6
ORC5 - POLA1
ORC5 - PPP2CB
PPP2R3B - POLA2
PPP2R3B - ORC1
PPP2R3B - E2F1
CDK1 - ORC1
CDK1 - ORC6
CDK1 - E2F1
PRIM1 - ORC1
PRIM1 - ORC6
PRIM1 - E2F1
TFDP1 - ORC1
TFDP1 - ORC6
TFDP1 - POLA1


